PID,Monitored Facility,Contingency Name,lo_facility,lo_outage,Earliest,Latest
11369,Kammer 2 138kv KAM-NAT l/o Muskingum River D,345/138.Muskingum River.D,KAMMER 2 138 KV KAM-NAT,MUSKINGUM RIVER D,2015-10-03 00:00:00-04:00,2016-01-11 19:00:00-05:00
11451,Westwood-NW Tap 138 l/o Cayuga-Eugene 345,L345.Cayuga-Eugene,WESTWOOD-NW TAP 138,CAYUGA-EUGENE 345,2015-12-09 00:00:00-05:00,2015-12-14 23:00:00-05:00
11472,Westwood - NW_Tap l/o Cayuga - Eugene 345 kV,Caysub-Eugene 345kV,WESTWOOD - NW_TAP,CAYUGA - EUGENE 345 KV,2015-12-07 23:00:00-05:00,2015-12-11 07:00:00-05:00
11489,Cherry Valley TR83 345/138 l/o Cherry Valley-Silver Lake 345,L345.Cherry Valley-Silver Lake.15616,CHERRY VALLEY TR83 345/138,CHERRY VALLEY-SILVER LAKE 345,2015-09-18 21:00:00-04:00,2015-12-08 23:00:00-05:00
11490,Mercer IP-Galesburg 161kV l/o Nelson-Electric Junction 345kV,L345.Nelson-Electric Junction.15502,MERCER IP-GALESBURG 161 KV,NELSON-ELECTRIC JUNCTION 345 KV,2015-09-15 00:00:00-04:00,2015-12-08 23:00:00-05:00
11496,Coffeen North-Ramsey 345 kV l/o Praire State-WMt Vernon 345,Prairie State-W Mt. Vernon + TR4,COFFEEN NORTH-RAMSEY 345 KV,PRAIRE STATE-WMT VERNON 345,2015-12-08 17:00:00-05:00,2015-12-08 17:00:00-05:00
11508,Belvidere-12205 138 l/o Cherry Valley-Silver Lake 345,L345.Cherry Valley-Silver Lake.15616,BELVIDERE-12205 138,CHERRY VALLEY-SILVER LAKE 345,2015-04-13 06:00:00-04:00,2015-12-06 00:00:00-05:00
11514,Nelson-15508 138 l/o Nelson-Electric Jct 345,L345.Nelson-Electric Junction.15502,NELSON-15508 138,NELSON-ELECTRIC JCT 345,2015-05-03 00:00:00-04:00,2015-12-04 20:00:00-05:00
11516,Burnham-Munster 345 kV l/o E. Frankfort-Crete 345 kV,345L6607 E Frankfort-Crete 345 kV Line,BURNHAM-MUNSTER 345 KV,E. FRANKFORT-CRETE 345 KV,2011-12-05 07:00:00-05:00,2015-12-03 23:00:00-05:00
11518,Michigan City-Trail Creek 138 kV l/o Olive 345/138 kV,345/138.Olive.T2 (Sctnlz),MICHIGAN CITY-TRAIL CREEK 138 KV,OLIVE 345/138 KV,2014-11-20 00:00:00-05:00,2015-12-03 15:00:00-05:00
11537,Cherry Valley-15622 138 l/o Cherry Valley-Silver Lake 345,L345.Cherry Valley-Silver Lake.15616,CHERRY VALLEY-15622 138,CHERRY VALLEY-SILVER LAKE 345,2015-11-30 11:00:00-05:00,2015-11-30 21:00:00-05:00
11548,W Lafayette-Cumberland 138 kV l/o Cayuga-Eugene 345 kV,Caysub-Eugene 345kV,W LAFAYETTE-CUMBERLAND 138 KV,CAYUGA-EUGENE 345 KV,2015-11-25 07:00:00-05:00,2015-11-25 13:00:00-05:00
11588,124 Maryland-11902 138 l/o Byron-Lee County 345 kV,L345.Byron-LeeCounty.0627,124 MARYLAND-11902 138,BYRON-LEE COUNTY 345 KV,2015-10-29 00:00:00-04:00,2015-11-16 10:00:00-05:00
11590,Bunsonville-Eugene 345 kV l/o Casey-Breed 345 kV,Breed-Casey (BRE-WCA1) 345 Line,BUNSONVILLE-EUGENE 345 KV,CASEY-BREED 345 KV,2010-03-25 00:00:00-04:00,2015-11-16 09:00:00-05:00
11591,Bunsonville-Eugene 345 kV l/o Casey-Breed 345 kV,L345.Breed-WestCasey,BUNSONVILLE-EUGENE 345 KV,CASEY-BREED 345 KV,2014-03-15 01:00:00-04:00,2015-11-16 07:00:00-05:00
11593,1352-Lilly 138 kV l/o Clinton Unit 1,Clinton Unit 1,1352-LILLY 138 KV,CLINTON UNIT 1,2013-04-06 01:00:00-04:00,2015-11-16 05:00:00-05:00
11596,Mercer IP-Galesburg 161kV l/o Byron-Lee County 345,Byron - Lee 0627 345kv line,MERCER IP-GALESBURG 161 KV,BYRON-LEE COUNTY 345,2015-11-12 04:00:00-05:00,2015-11-16 02:00:00-05:00
11678,Tippecan-Lafaysouth 138 l/o Westwood-08NW_Tap-WLafyett 138 kV,Westwood-08NW_Tap-WLafyett 138,TIPPECAN-LAFAYSOUTH 138,WESTWOOD-08NW_TAP-WLAFYETT 138 KV,2015-09-08 11:00:00-04:00,2015-10-31 21:00:00-04:00
11680,Michigan City-Trail Creek 138 kV l/o Wilton Center-Dumont 765 kV,L765.Dumont-Wilton Center.11215,MICHIGAN CITY-TRAIL CREEK 138 KV,WILTON CENTER-DUMONT 765 KV,2015-08-21 00:00:00-04:00,2015-10-29 23:00:00-04:00
11697,12204-Pleasant Valley 12204 2 138 l/o Cherry Valley-Silver Lake 345,L345.Cherry Valley-Silver Lake.15616,12204-PLEASANT VALLEY 12204 2 138,CHERRY VALLEY-SILVER LAKE 345,2015-08-29 00:00:00-04:00,2015-10-27 05:00:00-04:00
11720,Michigan City-Trail Creek 138 l/o Michigan City-Bosserman 138,Michigan City-Laporte 138,MICHIGAN CITY-TRAIL CREEK 138,MICHIGAN CITY-BOSSERMAN 138,2015-10-19 01:00:00-04:00,2015-10-21 00:00:00-04:00
11753,Sidney TR2 138/345 l/o Casey-Breed 345,Breed-Casey (BRE-WCA1) 345 Line,SIDNEY TR2 138/345,CASEY-BREED 345,2015-10-09 05:00:00-04:00,2015-10-11 08:00:00-04:00
11758,Casey-Breed 345 l/o Wilton Center-Dumont 765,Dumont-Wilton Center 765kV,CASEY-BREED 345,WILTON CENTER-DUMONT 765,2014-11-02 06:00:00-05:00,2015-10-09 09:00:00-04:00
11781,124 Maryland-11902 138 l/o Nelson-Electric Jct 345,L345.Nelson-Electric Junction.15502,124 MARYLAND-11902 138,NELSON-ELECTRIC JCT 345,2015-04-11 08:00:00-04:00,2015-10-03 23:00:00-04:00
11814,Cordova-Nelson 15503 345 l/o Nelson-H471 15504 345,345L15504 Nelson-H471 345 kV Line,CORDOVA-NELSON 15503 345,NELSON-H471 15504 345,2015-07-30 10:00:00-04:00,2015-09-29 23:00:00-04:00
11830,Hennepin-LTV_1353 138 kV l/o Duck Creek-Tazewell 345 kV,Duck Creek-Tazewell (33161331) 345 Line,HENNEPIN-LTV_1353 138 KV,DUCK CREEK-TAZEWELL 345 KV,2015-09-29 11:00:00-04:00,2015-09-29 12:00:00-04:00
11835,Lanesville-Interstate 138 l/o Kincaid-Latham-BlueMnd 345+ Kincaid-Pawnee 345 SPS,Kincaid-Latham-BluMound 345kV + Kincaid-Pawnee SPS,LANESVILLE-INTERSTATE 138,KINCAID-LATHAM-BLUEMND 345+ KINCAID-PAWNEE 345 SPS,2015-09-28 11:00:00-04:00,2015-09-28 22:00:00-04:00
11878,Dixon-McGirr Rd 138 kV l/o Nelson-Electric Jct 345 kV,L345.Nelson-Electric Junction.15502,DIXON-MCGIRR RD 138 KV,NELSON-ELECTRIC JCT 345 KV,2014-09-05 05:00:00-04:00,2015-09-21 05:00:00-04:00
11930,Benton Harbor-Palisades 345 kV l/o Twin Branch-Argenta,L345.Argenta-Twin Branch,BENTON HARBOR-PALISADES 345 KV,TWIN BRANCH-ARGENTA,2014-03-20 00:00:00-04:00,2015-09-15 15:00:00-04:00
11935,Oak Grove-Galesburg 161kV l/o Nelson-Electric Junction 345kV,L345.Nelson-Electric Junction.15502,OAK GROVE-GALESBURG 161 KV,NELSON-ELECTRIC JUNCTION 345 KV,2015-07-19 00:00:00-04:00,2015-09-14 23:00:00-04:00
11963,08NW_Tap-Purdue 138 l/o Westwood-08NW_Tap-WLafyett 138,Westwood-08NW_Tap-WLafyett 138,08NW_TAP-PURDUE 138,WESTWOOD-08NW_TAP-WLAFYETT 138,2015-09-09 13:00:00-04:00,2015-09-09 13:00:00-04:00
11995,Pana 345/138-kV TX l/o Kincaid-Lanesville 345 kV,Kincaid-Lanesville 345kV (2101 line),PANA 345/138-KV TX,KINCAID-LANESVILLE 345 KV,2012-11-09 18:00:00-05:00,2015-09-01 19:00:00-04:00
12032,Sheffield-Calumet 138 kV l/o Sheffield-Marktown 138 kV,Sheffield-Marktown 138,SHEFFIELD-CALUMET 138 KV,SHEFFIELD-MARKTOWN 138 KV,2015-08-24 16:00:00-04:00,2015-08-24 16:00:00-04:00
12036,Michigan City - Laporte 138 kV l/o Dumont -Wilton Center 765 kV,Dumont-Wilton Center 765kV,MICHIGAN CITY - LAPORTE 138 KV,DUMONT -WILTON CENTER 765 KV,2013-08-15 00:00:00-04:00,2015-08-20 23:00:00-04:00
12053,BUTL APS 138KV BUT-KAR l/o L345.Armstrong-Homercity,L345.Armstrong-HomerCity,BUTL APS 138 KV BUT-KAR,L345.ARMSTRONG-HOMERCITY,2015-08-16 13:00:00-04:00,2015-08-18 21:00:00-04:00
12064,Dresden-Elwood 1222 345 kV l/o Dresden-Electric Jct 1223 345 kV,L345.12Dres-111ElctJct.1223+Dres.TR83,DRESDEN-ELWOOD 1222 345 KV,DRESDEN-ELECTRIC JCT 1223 345 KV,2015-06-03 13:00:00-04:00,2015-08-14 20:00:00-04:00
12135,Rising 345/138 kV l/o Loretto Wind Farm-Wilton Center 345 kV,Loretto-Wilton Center 345 kV,RISING 345/138 KV,LORETTO WIND FARM-WILTON CENTER 345 KV,2012-11-28 21:00:00-05:00,2015-07-19 16:00:00-04:00
12136,Oakgrove-Galesburg 161kv  l/o Nelson-Electric Junction,L345.Nelson-Electric Junction.15502,OAKGROVE-GALESBURG 161 KV,NELSON-ELECTRIC JUNCTION,2013-05-24 00:00:00-04:00,2015-07-18 23:00:00-04:00
12137,Pleasant Prairie-ZionEc 345 l/o Pleasant Prairie-Zion + Arcadian-Zion,Pleasant Prarie-Zion 345 kV & Zion-Arcadian 345kV,PLEASANT PRAIRIE-ZIONEC 345,PLEASANT PRAIRIE-ZION + ARCADIAN-ZION,2015-07-18 16:00:00-04:00,2015-07-18 18:00:00-04:00
12138,DTAP1384-Mclean 138 l/o Loretto-Wilton Center 345,Loretto-Wilton Center 345 kV,DTAP1384-MCLEAN 138,LORETTO-WILTON CENTER 345,2015-07-15 14:00:00-04:00,2015-07-17 22:00:00-04:00
12147,East Frankfort-Crete 345 kV l/o Dumont-Wilton Center 765 kV,L765.Dumont-Wilton Center.11215,EAST FRANKFORT-CRETE 345 KV,DUMONT-WILTON CENTER 765 KV,2015-07-08 00:00:00-04:00,2015-07-16 05:00:00-04:00
12152,Rising 45TR1 L/O lORETTO-WILTNCNTR,Loretto-Wilton Center 345 kV,RISING 45TR1,LORETTO-WILTNCNTR,2012-04-26 07:00:00-04:00,2015-07-09 22:00:00-04:00
12160,Breed-Wheatland 345 l/o Jefferson-Rockport 765 kV,Jefferson-Rockport (JEF-ROC1) 765 Line,BREED-WHEATLAND 345,JEFFERSON-ROCKPORT 765 KV,2012-10-12 22:00:00-04:00,2015-07-09 07:00:00-04:00
12172,Stillwell 345 kv xfmr l/o Stillwell- Dumont 345 kv,Dumont-Stillwell 345 kV,STILLWELL 345 KV XFMR,STILLWELL- DUMONT 345 KV,2011-11-30 00:00:00-05:00,2015-07-01 23:00:00-04:00
12200,Stillwell 345/138 l/o Stillwell-Dumont 345,Dumont-Stillwell 345 kV,STILLWELL 345/138,STILLWELL-DUMONT 345,2013-01-25 11:00:00-05:00,2015-06-23 07:00:00-04:00
12231,Oakgrove-Galesburg 161 kV l/o Sterling Steel-Nelson 345 kV,Sterling Steel-Nelson 345 kV,OAKGROVE-GALESBURG 161 KV,STERLING STEEL-NELSON 345 KV,2013-03-12 11:00:00-04:00,2015-06-16 11:00:00-04:00
12277,Cherry Valley-Silver Lake 345 l/o Nelson-Electric Jct 345,L345.Nelson-Electric Junction.15502,CHERRY VALLEY-SILVER LAKE 345,NELSON-ELECTRIC JCT 345,2015-02-03 08:00:00-05:00,2015-06-09 22:00:00-04:00
12296,Person4 -Half296 296B l/o  Jackson Cloverdale,L765.Jacksons Ferry -Cloverdale + 138 kV L CB,PERSON4 -HALF296 296B,JACKSON CLOVERDALE,2015-03-02 00:00:00-05:00,2015-06-07 21:00:00-04:00
12317,Rising 345/138-kV TX1 l/o Clinton-Brokaw 345 kV,L345.Brokaw-Clinton,RISING 345/138-KV TX1,CLINTON-BROKAW 345 KV,2015-02-18 00:00:00-05:00,2015-06-03 09:00:00-04:00
12319,Breed-Wheatland 345 l/o Jefferson-Rockport 765 kV,L765.Jefferson-Rockport,BREED-WHEATLAND 345,JEFFERSON-ROCKPORT 765 KV,2012-10-10 03:00:00-04:00,2015-06-02 23:00:00-04:00
12341,NW_Tap-Purdue 138 l/o Westwood-tippecan 138,Westwood-Tippecanoe Labs 138 kV,NW_TAP-PURDUE 138,WESTWOOD-TIPPECAN 138,2015-05-30 19:00:00-04:00,2015-05-30 20:00:00-04:00
12351,Beaver Channel-Albany l/o  Nelson -H471 ESS 345,155 Nelson-H471 (15504) 345 kV,BEAVER CHANNEL-ALBANY,NELSON -H471 ESS 345,2013-05-22 00:00:00-04:00,2015-05-29 20:00:00-04:00
12353,Rising 345/138 l/o Brokaw-Pontiac 345,Brokaw-Pontiac 345,RISING 345/138,BROKAW-PONTIAC 345,2012-12-13 10:00:00-05:00,2015-05-29 19:00:00-04:00
12359,Marysville-Tangy 345 l/o Malizewski-Marysville 765,L765.Maliszewski-Marysville,MARYSVILLE-TANGY 345,MALIZEWSKI-MARYSVILLE 765,2015-05-16 00:00:00-04:00,2015-05-29 15:00:00-04:00
12377,Bush-Lafayette 138 kV l/o Westwood-Tippecan 138 kV,Westwood-Concord-Southeast 138 kV,BUSH-LAFAYETTE 138 KV,WESTWOOD-TIPPECAN 138 KV,2015-05-21 10:00:00-04:00,2015-05-27 23:00:00-04:00
12384,Wheatland-Petersburg 345 l/o Rockport-Jefferson 765,Jefferson-Rockport (JEF-ROC1) 765 Line,WHEATLAND-PETERSBURG 345,ROCKPORT-JEFFERSON 765,2013-07-10 03:00:00-04:00,2015-05-27 10:00:00-04:00
12396,Powerton Jct-Lilly 138kv l/o Duck Creek-Tazewell 345kv,L345.Duck Creek-Tazewell,POWERTON JCT-LILLY 138 KV,DUCK CREEK-TAZEWELL 345 KV,2013-09-11 00:00:00-04:00,2015-05-22 23:00:00-04:00
12398,Bushcin-08Lafyte 138 l/o Cayuga3-Eugene 345,Caysub-Eugene 345kV,BUSHCIN-08LAFYTE 138,CAYUGA3-EUGENE 345,2013-02-26 04:00:00-05:00,2015-05-22 21:00:00-04:00
12420,Bush-Lafayette 138 kV l/o Westwood-Concord SE 138 kV,Westwood-Concord-Southeast 138 kV,BUSH-LAFAYETTE 138 KV,WESTWOOD-CONCORD SE 138 KV,2014-06-17 11:00:00-04:00,2015-05-18 23:00:00-04:00
12493,Reynold-Monticello 138 l/o Eugene-Cayuga3 345,L345.Cayuga-Eugene,REYNOLD-MONTICELLO 138,EUGENE-CAYUGA3 345,2015-03-10 00:00:00-04:00,2015-05-09 08:00:00-04:00
12498,Michigan City - Laporte 138 kV l/o Babcock-Stillwell 345 kV and XF 1,L345.Babcock-Stillwell+345/138.Stillwell.1,MICHIGAN CITY - LAPORTE 138 KV,BABCOCK-STILLWELL 345 KV AND XF 1,2014-10-22 00:00:00-04:00,2015-05-08 15:00:00-04:00
12499,Burnham-Munster 345 kV l/o Braidwood-E. Frankfort 345 kV,345L2001 Braidwood-E Frankfort 345 kV Line,BURNHAM-MUNSTER 345 KV,BRAIDWOOD-E. FRANKFORT 345 KV,2015-04-27 07:00:00-04:00,2015-05-08 15:00:00-04:00
12504,Reynold-Monticello 138 l/o Eugene-Cayuga3 345,Caysub-Eugene 345kV,REYNOLD-MONTICELLO 138,EUGENE-CAYUGA3 345,2013-03-09 19:00:00-05:00,2015-05-08 10:00:00-04:00
12519,Klondcin-Purdue 138 l/o Eugene-Cayuga 345,Caysub-Eugene 345kV,KLONDCIN-PURDUE 138,EUGENE-CAYUGA 345,2015-01-25 14:00:00-05:00,2015-05-05 20:00:00-04:00
12560,Munster 345/138 kV xfmr l/o Dumont-Wilton Center,Dumont-Wilton Center 765kV,MUNSTER 345/138 KV XFMR,DUMONT-WILTON CENTER,2015-04-20 07:00:00-04:00,2015-04-24 18:00:00-04:00
12561,Munster 345/138 kV l/o Dumont-Wilton Center 765 kV,L765.Dumont-Wilton Center.11215,MUNSTER 345/138 KV,DUMONT-WILTON CENTER 765 KV,2015-04-21 00:00:00-04:00,2015-04-24 15:00:00-04:00
12566,Tippecanoe-Lafaysouth 138 l/o Eugene-Cayuga3 345,L345.Cayuga-Eugene,TIPPECANOE-LAFAYSOUTH 138,EUGENE-CAYUGA3 345,2015-04-03 00:00:00-04:00,2015-04-23 03:00:00-04:00
12576,Tippecanoe-LafayetteSouth 138kV l/o Eugene-Cayuga3 345kV,Caysub-Eugene 345kV,TIPPECANOE-LAFAYETTESOUTH 138 KV,EUGENE-CAYUGA3 345 KV,2015-04-01 21:00:00-04:00,2015-04-20 09:00:00-04:00
12577,Munster 345/138 kV xfmr l/o Dumont-WiltonCenter+Munster-LkGeorge+Munster-Taney,Dumont-WiltonCenter+Munster-LkGeorge+Munster-Taney,MUNSTER 345/138 KV XFMR,DUMONT-WILTONCENTER+MUNSTER-LKGEORGE+MUNSTER-TANEY,2015-04-20 06:00:00-04:00,2015-04-20 07:00:00-04:00
12607,Garden Plain-15518 138 kV l/o Nelson TR84 345/138 Kv,345/138.Nelson.TR84,GARDEN PLAIN-15518 138 KV,NELSON TR84 345/138 KV,2015-04-08 00:00:00-04:00,2015-04-09 19:00:00-04:00
12620,Casey-Breed 345 l/o Wilton Center-Dumont 765,L765.Dumont-Wilton Center.11215,CASEY-BREED 345,WILTON CENTER-DUMONT 765,2014-11-04 00:00:00-05:00,2015-04-07 23:00:00-04:00
12691,St John 345/138 l/o St John-Green Acres 345,L345.Green Acres-St Johns (NIPS),ST JOHN 345/138,ST JOHN-GREEN ACRES 345,2015-03-22 00:00:00-04:00,2015-03-23 04:00:00-04:00
12698,St John 345/138 l/o St John-Green Acres 345,Green Acres-St John 345 kV,ST JOHN 345/138,ST JOHN-GREEN ACRES 345,2015-03-20 23:00:00-04:00,2015-03-21 06:00:00-04:00
12722,Oak Grove-Galesburg 161 kV l/o Cordova-Nelson 345 kV,Cordova-Nelson (15503) 345 Line,OAK GROVE-GALESBURG 161 KV,CORDOVA-NELSON 345 KV,2012-12-20 15:00:00-05:00,2015-03-18 20:00:00-04:00
12727,Oakgrove-Galesburg  l/o Sterling Steel - Nelson,Sterling Steel-Nelson 345 kV,OAKGROVE-GALESBURG,STERLING STEEL - NELSON,2013-08-06 00:00:00-04:00,2015-03-17 23:00:00-04:00
12798,Ipava 345/138 l/o Tazewell-Kendall 345,Tazewell-Kendall 345,IPAVA 345/138,TAZEWELL-KENDALL 345,2015-03-07 06:00:00-05:00,2015-03-07 08:00:00-05:00
12930,Reynolds 345/138kV XFMR l/o Dequine-Westwood 2 345kV,Dequine-Westwood-2 345kV,REYNOLDS 345/138 KV XFMR,DEQUINE-WESTWOOD 2 345 KV,2015-02-12 07:00:00-05:00,2015-02-12 11:00:00-05:00
12949,MichCity-Maple l/o MichCity-Laport MichCity-TrailCrk Dumont-WiltCenter,MichCity-Laport MichCity-TrailCrk Dumont-WiltCente,MICHCITY-MAPLE,MICHCITY-LAPORT MICHCITY-TRAILCRK DUMONT-WILTCENTER,2015-02-06 07:00:00-05:00,2015-02-06 07:00:00-05:00
12952,Byron-Cherry Valley 0621 345 kV l/o 0624 Byron-Wempletown 345 kV,L345.Byron-Wempletown.0624,BYRON-CHERRY VALLEY 0621 345 KV,0624 BYRON-WEMPLETOWN 345 KV,2015-02-05 18:00:00-05:00,2015-02-05 19:00:00-05:00
12974,Klondcin-Purdue 138 l/o Eugene-Cayuga 345,L345.Cayuga-Eugene,KLONDCIN-PURDUE 138,EUGENE-CAYUGA 345,2015-01-30 00:00:00-05:00,2015-01-30 15:00:00-05:00
12982,Person4 -Half296 296B l/o  Carson Wake,L500.Carson-Wake.570,PERSON4 -HALF296 296B,CARSON WAKE,2013-07-26 00:00:00-04:00,2015-01-28 23:00:00-05:00
12989,Person-Halifax 230 kV l/o Wake-Carson 500 kV,Carson - Wake 500 kV,PERSON-HALIFAX 230 KV,WAKE-CARSON 500 KV,2015-01-26 12:00:00-05:00,2015-01-27 10:00:00-05:00
13004,Dune Acres-Michigan Cty 2 138 l/o Wilton Center-Dumont 765,Dumont-Wilton Center 765kV,DUNE ACRES-MICHIGAN CTY 2 138,WILTON CENTER-DUMONT 765,2015-01-20 08:00:00-05:00,2015-01-20 11:00:00-05:00
13005,Dune Acres-Michigan Cty 2 l/o WltnCtr-Dmnt+DnAcr-MchCty1+Bbck-DnAcr+BetaSt-DnAcr,WltnCtr-Dmnt+DnAcr-MchCty1+Bbck-DnAcr+BetaSt-DnAcr,DUNE ACRES-MICHIGAN CTY 2,WLTNCTR-DMNT+DNACR-MCHCTY1+BBCK-DNACR+BETAST-DNACR,2015-01-20 07:00:00-05:00,2015-01-20 07:00:00-05:00
13009,Pierce-Foster 345 l/o East Bend-Terminal 345,L345.East Bend-Terminal,PIERCE-FOSTER 345,EAST BEND-TERMINAL 345,2015-01-15 00:00:00-05:00,2015-01-17 10:00:00-05:00
13020,Klondcin-Purdue 138kV l/o Westwood-tippecan,Westwood-Tippecanoe Labs 138 kV,KLONDCIN-PURDUE 138 KV,WESTWOOD-TIPPECAN,2015-01-08 17:00:00-05:00,2015-01-15 21:00:00-05:00
13034,Klondcin-Purdue 138 l/o Westwood-Tippecan 138,L138.Westwood-Tippecanoe,KLONDCIN-PURDUE 138,WESTWOOD-TIPPECAN 138,2015-01-10 06:00:00-05:00,2015-01-12 22:00:00-05:00
13054,Bushcin-08Lafyte 138 l/o Cayuga2-Cayuga3 345,Cayuga2-Cayuga3 345 kV,BUSHCIN-08LAFYTE 138,CAYUGA2-CAYUGA3 345,2013-03-17 17:00:00-04:00,2015-01-01 01:00:00-05:00
13065,Bunsonvill-Eugene 345 l/o WiltonCenter-Dumont 765,Dumont-Wilton Center 765kV,BUNSONVILL-EUGENE 345,WILTONCENTER-DUMONT 765,2013-09-17 06:00:00-04:00,2014-12-23 15:00:00-05:00
13067,Bunsonville-Eugene 345 l/o Breed-Darwin 345,L345.Breed-Darwin,BUNSONVILLE-EUGENE 345,BREED-DARWIN 345,2013-03-14 00:00:00-04:00,2014-12-22 23:00:00-05:00
13070,Bunsonville-Eugene 345 l/o Breed-Darwin 345,Breed-Darwin 345,BUNSONVILLE-EUGENE 345,BREED-DARWIN 345,2013-02-16 02:00:00-05:00,2014-12-22 11:00:00-05:00
13079,Rantoul Jct-Paxton East 138 l/o W Casey-Breed 345,Breed-Casey (BRE-WCA1) 345 Line,RANTOUL JCT-PAXTON EAST 138,W CASEY-BREED 345,2014-10-15 08:00:00-04:00,2014-12-18 20:00:00-05:00
13132,Benton Harbor-Palisades 345 kV l/o Cook-Palisades 345 kV,Cook-Palisades (DCC-PAL) 345 line,BENTON HARBOR-PALISADES 345 KV,COOK-PALISADES 345 KV,2011-02-23 00:00:00-05:00,2014-12-08 23:00:00-05:00
13169,Pana 345/138-kV TX l/o Kincaid-Pawnee 345 kV,Kincaid-Pawnee 345kV (2106 line),PANA 345/138-KV TX,KINCAID-PAWNEE 345 KV,2013-03-06 19:00:00-05:00,2014-12-01 10:00:00-05:00
13183,Lanesville 345/138-kv TX l/o Kincaid-Lathm-Blue Mnd+Kincd-Pawnee,345L2102 (multiphase) SPOG 1-3-A,LANESVILLE 345/138-KV TX,KINCAID-LATHM-BLUE MND+KINCD-PAWNEE,2014-10-14 06:00:00-04:00,2014-11-25 18:00:00-05:00
13189,Lanesville 345/138-kV TX l/o Kincaid 2102 + 2105 + UN2 + 2106,Kincaid 2102+2105+UN2+2106,LANESVILLE 345/138-KV TX,KINCAID 2102 + 2105 + UN2 + 2106,2014-11-23 18:00:00-05:00,2014-11-23 18:00:00-05:00
13207,WCasey-Breed 345kV l/o Loretto-WiltonCenter 345kV,L345.Loretto-WiltonCenter.11212,WCASEY-BREED 345 KV,LORETTO-WILTONCENTER 345 KV,2014-11-17 03:00:00-05:00,2014-11-20 13:00:00-05:00
13209,Michigan City-Trail Creek 138 kV l/o Olive 345/138 kV,Olive 345/138 transformer,MICHIGAN CITY-TRAIL CREEK 138 KV,OLIVE 345/138 KV,2014-02-12 01:00:00-05:00,2014-11-20 07:00:00-05:00
13235,Lanesville 345/138-kV TX l/o Kincd-Lathm-Blue Mnd+Kincd-Pawnee+Latham,Kincaid-Latham-Blue Mound+Kincaid-Pawnee+Lthm TR1,LANESVILLE 345/138-KV TX,KINCD-LATHM-BLUE MND+KINCD-PAWNEE+LATHAM,2012-10-31 07:00:00-04:00,2014-11-14 19:00:00-05:00
13289,Reynold-Monticello 138 l/o Cayuga2-Cayuga3 345,Cayuga2-Cayuga3 345 kV,REYNOLD-MONTICELLO 138,CAYUGA2-CAYUGA3 345,2014-11-03 08:00:00-05:00,2014-11-04 07:00:00-05:00
13315,Kewanee-Edwards 138kv l/o Nelson-electric Jct,L345.Nelson-Electric Junction.15502,KEWANEE-EDWARDS 138 KV,NELSON-ELECTRIC JCT,2013-05-02 00:00:00-04:00,2014-10-27 23:00:00-04:00
13364,0621 Byron-Cherry Valley 345 kV l/o 0624 Byron-Wempletown 345 kV,345L0624 6_Byron-171_Wempletown 345 kV(SPOG 1-3-F),0621 BYRON-CHERRY VALLEY 345 KV,0624 BYRON-WEMPLETOWN 345 KV,2014-10-15 00:00:00-04:00,2014-10-16 16:00:00-04:00
13398,Pana 345/138-kV TX l/o Kincaid-Latham-Blue Mnd+Kincaid-Pawnee+Lthm TR1,Kincaid-Latham-Blue Mound+Kincaid-Pawnee+Lthm TR1,PANA 345/138-KV TX,KINCAID-LATHAM-BLUE MND+KINCAID-PAWNEE+LTHM TR1,2012-11-07 12:00:00-05:00,2014-10-07 09:00:00-04:00
13439,Pana 345/138 l/o Kincaid-Pawnee 345+Kincaid-Lanesville 345,Kincaid-Pawnee 345+Kincaid-Lanesville 345,PANA 345/138,KINCAID-PAWNEE 345+KINCAID-LANESVILLE 345,2013-02-04 09:00:00-05:00,2014-09-25 19:00:00-04:00
13441,Lanesville 345/138 kV l/o Kincaid-Latham-Blue Mnd+Latham TR1,Kincaid-Latham-Blue Mound 345+Latham 345/138 xfmr,LANESVILLE 345/138 KV,KINCAID-LATHAM-BLUE MND+LATHAM TR1,2014-09-23 20:00:00-04:00,2014-09-25 13:00:00-04:00
13467,Roxana-Praxair 138 kV l/o Roxana-Mitchell Yard 138 kV,Roxana-Mitchell Yard 138 kV,ROXANA-PRAXAIR 138 KV,ROXANA-MITCHELL YARD 138 KV,2013-06-15 04:00:00-04:00,2014-09-14 06:00:00-04:00
13510,Roxana-Praxair 1 138 kV l/o Roxana-Mitchell Yard 138 KV,Roxana-Mitchell Yard 138 kV,ROXANA-PRAXAIR 1 138 KV,ROXANA-MITCHELL YARD 138 KV,2014-08-29 03:00:00-04:00,2014-09-07 06:00:00-04:00
13531,Kenosha-Lakeview 138 l/o Pleasant Prairie-Zion EC 345,L345.Zion-Pleasant Prairie.PLPL41,KENOSHA-LAKEVIEW 138,PLEASANT PRAIRIE-ZION EC 345,2014-09-04 00:00:00-04:00,2014-09-05 20:00:00-04:00
13539,Kenosha-Lakeview 138 l/o Pleasant Prairie-Zion EC 345,Pleasant Prairie-Zion EC 345,KENOSHA-LAKEVIEW 138,PLEASANT PRAIRIE-ZION EC 345,2014-09-03 06:00:00-04:00,2014-09-05 14:00:00-04:00
