PID,Monitored Facility,Contingency Name,lo_facility,lo_outage,Earliest,Latest
6627,Fargo 345/138 kv Xfmr l/o Duck Creek-Ipava 345 kV,L345.Duck Creek-Ipva (AMIL),FARGO 345/138 KV XFMR,DUCK CREEK-IPAVA 345 KV,2018-10-01 08:00:00-04:00,2019-07-11 18:00:00-04:00
6724,Powerton - PowertonJct 138 kV l/o Clinton U1,Clinton.U1 (AMRN),POWERTON - POWERTONJCT 138 KV,CLINTON U1,2019-05-17 00:00:00-04:00,2019-05-27 03:00:00-04:00
6728,Michigan City-Bosserman 138 kV l/o Michigan City-Trail Creek 138 kV,L138.Michigan City-Trail Creek.13814,MICHIGAN CITY-BOSSERMAN 138 KV,MICHIGAN CITY-TRAIL CREEK 138 KV,2016-04-11 00:00:00-04:00,2019-05-24 23:00:00-04:00
6730,Havana - Elkhart Jct 138 kV l/o Havana S - Havana E 138 kV,Havana S - Havana E 138 kV,HAVANA - ELKHART JCT 138 KV,HAVANA S - HAVANA E 138 KV,2017-04-05 20:00:00-04:00,2019-05-24 17:20:00-04:00
6734,Kewanee-HennepinTap 6101 138kV l/o EKewanee-PrinceTp-LTVSteel-Hennepin 138kV,L138.EastKewanee-PrinceTap-LTVSteel-Hennepin.1552,KEWANEE-HENNEPINTAP 6101 138 KV,EKEWANEE-PRINCETP-LTVSTEEL-HENNEPIN 138 KV,2019-04-19 16:00:00-04:00,2019-05-23 10:00:00-04:00
6735,Princeton Tap LTV Steel 138 kV l/o Hennepin - Kewanee - Streator 138 kV,L138.Kewanee-Hennepin.6101,PRINCETON TAP LTV STEEL 138 KV,HENNEPIN - KEWANEE - STREATOR 138 KV,2019-05-23 08:00:00-04:00,2019-05-23 10:00:00-04:00
6740,Princeton Tap LTV Steel 138 kV l/o Hennepin - Kewanee - Streator 138 kV,Kewanee-Streator 6101 138,PRINCETON TAP LTV STEEL 138 KV,HENNEPIN - KEWANEE - STREATOR 138 KV,2019-05-08 07:05:00-04:00,2019-05-21 17:10:00-04:00
6747,Powerton - PowertonJct 138 kV l/o Clinton U1,Clinton Unit 1,POWERTON - POWERTONJCT 138 KV,CLINTON U1,2019-05-16 04:50:00-04:00,2019-05-21 09:05:00-04:00
6790,Wash_St3-Raab Rd3 138 l/o Clinton Unit 1,Clinton Unit 1,WASH_ST3-RAAB RD3 138,CLINTON UNIT 1,2014-05-03 00:00:00-04:00,2019-05-08 17:15:00-04:00
6922,Newton - Robnsnam 138 kV l/o Newton - Casey 345 kV,Newton-Casey 345 kV,NEWTON - ROBNSNAM 138 KV,NEWTON - CASEY 345 KV,2019-03-12 07:45:00-04:00,2019-03-15 23:00:00-04:00
6990,LTVSteel - Hennepin ckt2 138 kV l/o Sandburg - EastKewanee 138 kV,Sandburg - East Kewanee 138 kV,LTVSTEEL - HENNEPIN CKT2 138 KV,SANDBURG - EASTKEWANEE 138 KV,2019-02-24 20:45:00-05:00,2019-02-24 23:10:00-05:00
6991,LTVSteel - Hennepin ckt2 138 kV l/o Powerton - Toulon 138 kV,Toulon - Powerton 138 kV,LTVSTEEL - HENNEPIN CKT2 138 KV,POWERTON - TOULON 138 KV,2019-02-24 08:00:00-05:00,2019-02-24 17:15:00-05:00
6996,LTVSteel - Hennepin 138 kV l/o Sandburg - EastKewanee 138 kV,Sandburg - East Kewanee 138 kV,LTVSTEEL - HENNEPIN 138 KV,SANDBURG - EASTKEWANEE 138 KV,2019-02-24 03:05:00-05:00,2019-02-24 03:05:00-05:00
7140,Maroa E - Goose Creek 345 kV l/o Pana-Austin 345 kV,Pana - Austin 345 kV,MAROA E - GOOSE CREEK 345 KV,PANA-AUSTIN 345 KV,2018-12-12 06:10:00-05:00,2018-12-12 09:25:00-05:00
7172,Michigan City-Bosserman 138 kV l/o Dumont -Wilton Center 765 kV,L765.Dumont-WiltonCenter.11215,MICHIGAN CITY-BOSSERMAN 138 KV,DUMONT -WILTON CENTER 765 KV,2018-06-19 09:00:00-04:00,2018-12-04 07:00:00-05:00
7177,Goodland Xfmr1 138/69 kV l/o Reynolds-Goodland 138kV,Reynolds-Goodland 138kV + Goodland 138/69kV Xfmr 2,GOODLAND XFMR1 138/69 KV,REYNOLDS-GOODLAND 138 KV,2018-11-22 21:50:00-05:00,2018-12-02 23:20:00-05:00
