dz_name,pn_name,confidence_tier,score,match_method,kv,dz_zone,pn_zone,n_candidates_considered,runner_up_pn_name,runner_up_score,s_name,s_topo,s_sig,s_zone,s_geo,n_fires,margin,frac_x_diff,unmatch_reason
ELM_MOTT__9,ELMOT_69KV_1,anchor,1.0,transformer_impedance,69,O_MCLENNAN ,NCEN,1,,,,,,,,,,0.0,
ELM_MOTT__8,ELMOT_138KV_1,anchor,1.0,transformer_impedance,138,O_MCLENNAN ,NCEN,3,,,,,,,,,,0.0,
LAKE_CRK1_5,LCSES_345KV_1,anchor,1.0,transformer_impedance,345,O_MCLENNAN ,NCEN,250,,,,,,,,,,0.00011829652996843576,
LAKE_CRK1_8,LCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_MCLENNAN ,NCEN,1667,,,,,,,,,,0.0,
NAVARRO1_8,NVARO_138KV_1,anchor,1.0,transformer_impedance,138,O_NAVARRO  ,NCEN,2,,,,,,,,,,0.0,
HILLBORO1_9,HLSBR_69KV_1,anchor,1.0,transformer_impedance,69,O_HILL     ,NCEN,2,,,,,,,,,,0.0,
MEXIA_NO_9,MEXIA_69KV_1,anchor,1.0,transformer_impedance,69,O_LIMESTONE,NCEN,2,,,,,,,,,,0.0,
MEXIA2_1_8,MEXIA_138KV_1,anchor,1.0,transformer_impedance,138,O_LIMESTONE,NCEN,2,,,,,,,,,,0.0,
BRAUNIG_W,BRAUNIG_138KV_2,anchor,1.0,transformer_impedance,138,CPS_GENS   ,SCEN,3,,,,,,,,,,0.0,
BRAUNIG_E,BRAUNIG_138KV_1,anchor,1.0,transformer_impedance,138,CPS_GENS   ,SCEN,3,,,,,,,,,,0.0,
HILLCTY3_8,HILLCTRY_138KV_2,anchor,1.0,transformer_impedance,138,CPS        ,SCEN,0,,,,,,,,,,0.0010344827586206524,
LEON_CRK,LEON_CRK_138KV_1,anchor,1.0,transformer_impedance,138,CPS_GENS   ,SCEN,2,,,,,,,,,,0.0,
SKYLIN3_8,SKYLINE_138KV_1,anchor,1.0,transformer_impedance,138,CPS        ,SCEN,0,,,,,,,,,,0.0005349182763744881,
SOMMERS,CALAVERS_138KV_2,anchor,1.0,transformer_impedance,138,CPS_GENS   ,SCEN,609,,,,,,,,,,0.0,
SPRUCE,CALAVERS_345KV_1,anchor,1.0,transformer_impedance,345,CPS_GENS   ,SCEN,72,,,,,,,,,,0.0,
VON_ROSE,BRAUNIG_345KV_1,anchor,1.0,transformer_impedance,345,CPS_GENS   ,SCEN,72,,,,,,,,,,0.0,
RAYBURNPLNT8,RAYBURN_138KV_2,anchor,1.0,transformer_impedance,138,STEC       ,COAS,0,,,,,,,,,,0.0,
VANDERBLTSW9,VANBLTSS_69KV_1,anchor,1.0,transformer_impedance,69,STEC       ,COAS,0,,,,,,,,,,0.0,
VANDERBLTSW8,VANBLTSS_138KV_1,anchor,1.0,transformer_impedance,138,STEC       ,COAS,0,,,,,,,,,,0.0,
LOYOLASW9,LOYOLA_69KV_1,anchor,1.0,transformer_impedance,69,STEC       ,SOUT,2,,,,,,,,,,1.4856633486866738e-05,
LOYOLASUB8,LOYOLA_138KV_1,anchor,1.0,transformer_impedance,138,NEC        ,SOUT,0,,,,,,,,,,1.4856633486866738e-05,
PAWNEESW5,PAWNEE_345KV_1,anchor,1.0,transformer_impedance,345,KEC        ,SCEN,1,,,,,,,,,,4.1433602651792e-05,
PAWNEESUB8,PAWNEE_138KV_1,anchor,1.0,transformer_impedance,138,KEC        ,SCEN,1,,,,,,,,,,4.1433602651792e-05,
PEARSALLSW9,PEARSALL_69KV_1,anchor,1.0,transformer_impedance,69,MEC        ,SOUT,2,,,,,,,,,,0.0,
PEARSALLSUB8,PEARSALL_138KV_1,anchor,1.0,transformer_impedance,138,MEC        ,SOUT,0,,,,,,,,,,0.0,
MIGUEL8,SANMIGL_138KV_1,anchor,1.0,transformer_impedance,138,STEC       ,SOUT,0,,,,,,,,,,0.0008450704225352318,
MIGUEL5,SANMIGL_345KV_1,anchor,1.0,transformer_impedance,345,STEC       ,SOUT,0,,,,,,,,,,0.0,
PWRPLT69,SILASRAY_69KV_1,anchor,1.0,transformer_impedance,69,BPUB       ,SOUT,0,,,,,,,,,,0.0,
OKLA4A,OKLA_138KV_1,anchor,1.0,transformer_impedance,138,WILBARGER_C,NOTH,1,,,,,,,,,,0.0,
OKLA7A,OKLA_345KV_1,anchor,1.0,transformer_impedance,345,WILBARGER_C,NOTH,1,,,,,,,,,,0.0,
OKLA4B,OKLA_138KV_1,anchor,1.0,transformer_impedance,138,WILBARGER_C,NOTH,1,,,,,,,,,,6.531678641402267e-05,
REDCREEK4A,REDCREEK_138KV_1,anchor,1.0,transformer_impedance,138,SAN ANG    ,WEST,1,,,,,,,,,,0.0,
SAPOWER4B,SAPOWER_138KV_1,anchor,1.0,transformer_impedance,138,SAN ANG    ,WEST,1,,,,,,,,,,0.0,
ALMC2A,ALMC_69KV_1,anchor,1.0,transformer_impedance,69,PRESIDIO   ,FWES,1,,,,,,,,,,0.0,
ALMC4A,ALMC_138KV_1,anchor,1.0,transformer_impedance,138,PRESIDIO   ,FWES,1,,,,,,,,,,0.0,
L_FPPYD25_1Y,FPPYD2_345KV_1,anchor,1.0,transformer_impedance,345,FAYETTE    ,SCEN,0,,,,,,,,,,0.0,
L_FPPYD15_1Y,FPPYD1_345KV_1,anchor,1.0,transformer_impedance,345,FAYETTE    ,SCEN,0,,,,,,,,,,0.0,
L_INKSDA9_1Y,INKSDA_69KV_1,anchor,1.0,transformer_impedance,69,LLANO      ,WEST,0,,,,,,,,,,0.0,
